"Area";"Gender";"Age";"Occupation";"Education level";"Year";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parks and green areas";"Diversity in housing supply";"Invest in public areas";"Communications";"Culture and leisure";"Education";"Care";"School";"Safety";"Ecological sustainability";"Disagreement 1";"Disagreement 2";"Disagreement 3"
"Smedby 3";"Woman";"45-54";"Job-seeker";"Elementary school or equivalent compulsory school";"5-9 years";10;3;11;11;3;11;11;4;5;7;10;11;11;4;11;10;12;6;9;10;14;9;14;6;14;9;3;11;11;7;11;14;8;14;14;11;11;11;11;11;14;14;14;5;7;9;5;10;9;10;1;3;1;4;14;14;5;14;13;1;5;4;9
"Runby";"Prefer not to disclose";"65+";"Senior citizen";"College/University";"5-9 years";14;14;14;7;7;14;14;14;5;14;7;7;7;7;7;14;3;5;13;7;7;7;7;7;7;4;6;14;14;9;14;13;13;13;13;14;14;14;13;13;14;14;14;6;14;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Vilunda/Korpkulla";"Man";"65+";"Senior citizen";"College/University";"5-9 years";7;7;7;7;7;11;11;8;11;7;4;10;10;7;7;10;7;8;10;7;9;9;9;9;11;11;8;10;11;11;8;10;10;10;11;14;14;11;9;11;10;11;11;3;7;11;11;11;11;11;6;6;6;6;9;12;12;12;6;6;9;2;2
"Norra Nordanvägen";"Woman";"45-54";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";9;6;8;10;9;9;8;8;5;9;8;8;6;9;7;8;8;6;8;9;13;8;8;6;8;10;9;9;11;10;9;9;10;8;8;8;10;10;8;8;8;8;8;8;7;8;6;7;7;7;1;1;1;2;12;11;11;11;10;6;3;3;3
"Runby";"Man";"45-54";"Self-employed";"College/University";"5-9 years";13;12;14;11;14;14;10;9;8;7;7;7;7;7;7;10;11;6;8;14;11;6;6;6;10;14;7;14;14;14;12;14;11;10;14;14;14;13;14;7;8;7;7;12;7;13;12;8;14;14;11;3;3;10;9;14;12;14;13;2;9;9;8
"Grimstaby";"Man";"35-44";"Self-employed";"Elementary school or equivalent compulsory school";"5-9 years";7;7;9;7;7;11;10;7;7;4;11;7;7;7;7;8;9;7;7;7;8;9;7;7;7;8;9;11;11;8;7;7;7;11;7;8;10;10;10;8;9;8;8;4;8;7;7;7;7;7;8;3;4;10;11;14;9;14;6;6;8;5;5
"Lindhemsvägen";"Woman";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";10;8;9;6;9;11;6;8;6;8;8;6;6;7;7;8;11;7;8;11;13;13;12;11;11;8;9;10;14;14;10;10;14;10;9;8;14;13;9;14;9;6;10;7;7;8;8;8;14;8;3;14;3;14;9;12;14;12;6;3;4;4;6
"Frestaby";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";9;8;6;8;8;9;8;8;6;6;8;6;8;8;8;7;8;10;6;9;11;8;8;6;8;8;9;8;9;9;8;8;9;8;8;8;9;9;8;6;8;8;8;6;6;8;8;8;8;10;1;1;1;1;1;1;2;2;2;1;7;5;4
"Sjukyrkoberget";"Man";"55-64";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";11;11;11;11;11;11;11;10;10;3;5;0;9;10;14;14;14;6;12;10;10;3;13;14;7;14;6;14;14;14;12;10;14;10;14;14;14;14;6;9;14;14;14;14;14;8;14;7;14;14;5;4;10;14;3;14;14;14;14;7;10;5;6
"Runby";"Man";"45-54";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";7;5;6;6;9;8;6;9;8;7;7;6;8;7;7;8;9;7;8;7;7;7;7;7;7;11;6;8;11;9;5;6;6;9;7;8;11;9;5;11;10;12;14;7;7;7;7;7;7;7;1;1;1;1;1;6;4;7;9;1;5;6;6
