"Serial";"SID";"Time";"Draft";"IP.Address";"UID";"Username";"X1a..Bevara.existerande.större.grönområden";"X1b..Anlägga.parker.i.existerande.stadsdelar";"X1c..Bygga.bostäder.nära.grönområden";"X1d..Rusta.upp.befintliga.parker";"X1e..Skapa.bättre.tillgänglighet.till.större.grönområden";"X2a..Erbjuda.fler.bostadstyper";"X2b..Erbjuda.fler.lägenhetsstorlekar";"X2c..Erbjuda.småskaligt.markägande";"X2d..Bevara.de.idémässiga.grunderna.för.bebyggelsen.från.1970.talet";"X2e..Erbjuda.fler.bostäder.nära.vatten";"X3a..Blanda.trafikslagen";"X3b..Förlägga.parkering.längs.med.gator";"X3c..Vända.entréer.mot.gator";"X3d..Förlägga.publika.lokaler.i.transparenta.bottenvåningar";"X3e..Trygga.parkeringslösningar.under.bostäder";"X4a..Koppla.ihop.nya.gator.med.befintliga.för.att.stärka.kopplingen.till.intilliggande.stadsdelar.och.minska.barriärerna.som.de.stora.vägarna.utgör.";"X4b..Förbättra.kommunikationerna.nattetid.mellan.olika.delar.av.kommunen";"X4c..Förbättra.kommunikationerna.till.och.från.Uppsala";"X4d..Förbättra.de.nord.sydliga.och.öst.västliga.stråken.via.ett.finmaskigare.och.väl.integrerat.stadsnät.";"X4e..Förbättra.kommunikationerna.till.och.från.Stockholms.innerstad";"X5a..Utöka.utbudet.av.kultur..sport..och.fritidsaktiviteter";"X5b..Skapa.bättre.möjligheter.för.festivaler.och.konserter";"X5c..Skapa.fler.förutsättningar.för.utomhussporter";"X5d..Skapa.marknadsplatser.utomhus";"X5e..Erbjuda.kommunala.bidrag.för.kultur..och.fritidsprojekt";"X6a..Rusta.upp.äldre.skolor";"X6b..Bygg.nya.skolor";"X6c..Förbättra.skolgårdarnas.fysiska.miljöer";"X6d..Höj.kvaliteten.i.grundskolan";"X6e..Höj.kvaliteten.på.gymnasieutbildningarna";"X7a..Fler.kultur..och.fritidsaktiviteter.för.äldre";"X7b..Fler.kultur..och.fritidsaktiviteter.för.barn.och.ungdomar";"X7c..Förbättra.äldreomsorgen.i.kommunen";"X7d..Fler.ungdomsgårdar.och.fältassistenter";"X7e..Minska.barngrupperna.i.förskolan";"X8a..Mindre.barngrupper.i.förskolan";"X8b..Höj.kvaliteten.i.undervisningen";"X8c..Mer.kompetensutveckling.för.skolor.och.lärare";"X8d..Mer.modern.informationsteknologi..IT..i.undervisningen";"X8e..Involvera.vårdnadshavare.mer.i.skolan";"X9a..Öka.tryggheten.kring.stationsområdet";"X9b..Fler.poliser.i.centrala.Väsby";"X9c..Förbättra.belysningen.i.centrala.Väsby";"X9d..Begränsa.öppettider.för.alkoholutskänkning.i.centrala.Väsby";"X9e..Förläng.öppettider.för.affärsverksamhet.i.centrala.Väsby";"X10a..Minska.förbrukningen.av.energi";"X10b..Minska.transporter.och.buller";"X10c..Öka.klimatanpassning.och.kretsloppstänkande";"X10d..Prioritera.miljövänliga.transportsätt..gång..cykel..kollektivtrafik.";"X10e..Minska.miljögifter.och.farliga.kemikalier.i.naturen";"X1..Parker.och.grönområden";"X2..Mångfald.i.bostadsutbudet";"X3..Levandegöra.gemensamma.platser";"X4..Kommunikationer";"X5..Kultur.och.fritid";"X6..Utbildning";"X7..Omsorg";"X8..Skolan";"X9..Trygghet";"X10..Ekologisk.hållbarhet";"X12a..Bygga.bostäder.nära.vatten";"X12b..Bevara.natur.och.strandlinjer.intakta";"X13a..Förtäta.centrum.och.öka.servicen";"X13b..Bevara.grönområden.intakta";"X14a..Utveckla.centrala.Upplands.Väsby";"X14b..Satsa.på.mindre.tätorter.i.kommunen";"Var.bor.du.";"Vilken.är.din.högsta.utbildningsnivå.";"Vilken.är.din.huvudsakliga.sysselsättning.";"Hur.länge.har.du.bott.i.Upplands.Väsby.";"Hur.gammal.är.du.";"Vilket.kön.har.du."
1;88;"01/12/2015 - 16:45";0;0;0;NA;14;8;1;7;7;5;6;5;11;7;6;8;5;5;11;5;8;6;8;13;6;14;6;8;7;11;6;7;7;7;13;13;13;12;"7";"7";7;7;"7";7;12;11;"12";5;11;9;9;10;10;11;12;1;1;10;12;1;12;1;10;9;"10";NA;"10";NA;"1";NA;"";"Högskola/universitet";"Student";"5-9 år";"25-34";"Kvinna"
2;89;"01/13/2015 - 11:29";0;0;0;NA;10;3;11;11;3;11;11;4;5;7;10;11;11;4;11;10;12;6;9;10;14;9;14;6;14;9;3;11;11;7;11;14;8;14;"14";"11";11;11;"11";11;14;14;"14";5;7;9;5;10;9;10;1;3;1;4;14;14;5;14;13;1;"5";NA;"4";NA;"9";NA;"Smedby 3";"Grundskola eller motsvarande obligatorisk skola";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"10 år eller mer";"45-54";"Kvinna"
3;90;"01/13/2015 - 12:05";0;0;0;NA;14;14;14;7;7;14;14;14;5;14;7;7;7;7;7;14;3;5;13;7;7;7;7;7;7;4;6;14;14;9;14;13;13;13;"13";"14";14;14;"13";13;14;14;"14";6;14;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;"5";NA;"5";NA;"5";NA;"Runby";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Vill ej uppge"
4;91;"01/13/2015 - 12:50";0;0;0;NA;7;7;7;7;7;11;11;8;11;7;4;10;10;7;7;10;7;8;10;7;9;9;9;9;11;11;8;10;11;11;8;10;10;10;"11";"14";14;11;"9";11;10;11;"11";3;7;11;11;11;11;11;6;6;6;6;9;12;12;12;6;6;"9";NA;"2";NA;"2";NA;"Vilunda/Korpkulla";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Man"
5;92;"01/13/2015 - 13:02";0;0;0;NA;9;6;8;10;9;9;8;8;5;9;8;8;6;9;7;8;8;6;8;9;13;8;8;6;8;10;9;9;11;10;9;9;10;8;"8";"8";10;10;"8";8;8;8;"8";8;7;8;6;7;7;7;1;1;1;2;12;11;11;11;10;6;"3";NA;"3";NA;"3";NA;"Norra Nordanvägen";"Gymnasium, folkhögskola eller motsvarande";"Egen företagare";"10 år eller mer";"45-54";"Kvinna"
6;93;"01/13/2015 - 13:10";0;0;0;NA;13;12;14;11;14;14;10;9;8;7;7;7;7;7;7;10;11;6;8;14;11;6;6;6;10;14;7;14;14;14;12;14;11;10;"14";"14";14;13;"14";7;8;7;"7";12;7;13;12;8;14;14;11;3;3;10;9;14;12;14;13;2;"9";NA;"9";NA;"8";NA;"Runby";"Högskola/universitet";"Egen företagare";"10 år eller mer";"45-54";"Man"
7;94;"01/13/2015 - 13:24";0;0;0;NA;7;7;9;7;7;11;10;7;7;4;11;7;7;7;7;8;9;7;7;7;8;9;7;7;7;8;9;11;11;8;7;7;7;11;"7";"8";10;10;"10";8;9;8;"8";4;8;7;7;7;7;7;8;3;4;10;11;14;9;14;6;6;"8";NA;"5";NA;"5";NA;"Grimstaby";"Grundskola eller motsvarande obligatorisk skola";"Egen företagare";"10 år eller mer";"35-44";"Man"
8;95;"01/13/2015 - 13:29";0;0;0;NA;10;8;9;6;9;11;6;8;6;8;8;6;6;7;7;8;11;7;8;11;13;13;12;11;11;8;9;10;14;14;10;10;14;10;"9";"8";14;13;"9";14;9;6;"10";7;7;8;8;8;14;8;3;14;3;14;9;12;14;12;6;3;"4";NA;"4";NA;"6";NA;"Lindhemsvägen";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"25-34";"Kvinna"
9;96;"01/13/2015 - 13:37";0;0;0;NA;9;8;6;8;8;9;8;8;6;6;8;6;8;8;8;7;8;10;6;9;11;8;8;6;8;8;9;8;9;9;8;8;9;8;"8";"8";9;9;"8";6;8;8;"8";6;6;8;8;8;8;10;1;1;1;1;1;1;2;2;2;1;"7";NA;"5";NA;"4";NA;"Frestaby";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Kvinna"
10;97;"01/13/2015 - 13:39";0;0;0;NA;11;11;11;11;11;11;11;10;10;3;5;0;9;10;14;14;14;6;12;10;10;3;13;14;7;14;6;14;14;14;12;10;14;10;"14";"14";14;14;"6";9;14;14;"14";14;14;8;14;7;14;14;5;4;10;14;3;14;14;14;14;7;"10";NA;"5";NA;"6";NA;"Sjukyrkoberget";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"55-64";"Man"
