"";"Omrade";"Kön";"Ålder";"Sysselsättning";"Utbildningsnivå";"År";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parker...grönområden";"Mångfald.i.bostadsutbudet";"Levandegöra.gemensamma.platser";"Kommunikationer";"Kultur...fritid";"Utbildning";"Omsorg";"Skolan";"Trygghet";"Ekologisk.hållbarhet";"Motsättning.1";"Motsättning.2";"Motsättning.3"
"1";"Smedby 3";"Kvinna";"45-54";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";10;3;11;11;3;11;11;4;5;7;10;11;11;4;11;10;12;6;9;10;14;9;14;6;14;9;3;11;11;7;11;14;8;14;6;4;11;11;4;11;14;14;6;5;7;9;5;10;9;10;1;3;1;4;14;14;5;14;13;1;8;7;12
"2";"Runby";"Vill ej uppge";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";14;14;14;7;7;14;14;14;5;14;7;7;7;7;7;14;3;5;13;7;7;7;7;7;7;4;6;14;14;9;14;13;13;13;5;7;14;14;6;13;14;14;6;6;14;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"3";"Vilunda/Korpkulla";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";7;7;7;7;7;11;11;8;11;7;4;10;10;7;7;10;7;8;10;7;9;9;9;9;11;11;8;10;11;11;8;10;10;10;3;7;14;11;15;11;10;11;3;3;7;11;11;11;11;11;6;6;6;6;9;12;12;12;6;6;12;5;5
"4";"Norra Nordanvägen";"Kvinna";"45-54";"Egen företagare";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;6;8;10;9;9;8;8;5;9;8;8;6;9;7;8;8;6;8;9;13;8;8;6;8;10;9;9;11;10;9;9;10;8;13;14;10;10;14;8;8;8;14;8;7;8;6;7;7;7;1;1;1;2;12;11;11;11;10;6;6;6;6
"5";"Runby";"Man";"45-54";"Egen företagare";"Högskola/universitet";"10 år eller mer";13;12;14;11;14;14;10;9;8;7;7;7;7;7;7;10;11;6;8;14;11;6;6;6;10;14;7;14;14;14;12;14;11;10;6;7;14;13;7;7;8;7;13;12;7;13;12;8;14;14;11;3;3;10;9;14;12;14;13;2;12;12;11
"6";"Grimstaby";"Man";"35-44";"Egen företagare";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";7;7;9;7;7;11;10;7;7;4;11;7;7;7;7;8;9;7;7;7;8;9;7;7;7;8;9;11;11;8;7;7;7;11;12;14;10;10;3;8;9;8;14;4;8;7;7;7;7;7;8;3;4;10;11;14;9;14;6;6;11;8;8
"7";"Lindhemsvägen";"Kvinna";"25-34";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;8;9;6;9;11;6;8;6;8;8;6;6;7;7;8;11;7;8;11;13;13;12;11;11;8;9;10;14;14;10;10;14;10;14;14;14;13;15;14;9;6;2;7;7;8;8;8;14;8;3;14;3;14;9;12;14;12;6;3;7;7;9
"8";"Frestaby";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";9;8;6;8;8;9;8;8;6;6;8;6;8;8;8;7;8;10;6;9;11;8;8;6;8;8;9;8;9;9;8;8;9;8;13;14;9;9;14;6;8;8;14;6;6;8;8;8;8;10;1;1;1;1;1;1;2;2;2;1;10;8;7
"9";"Sjukyrkoberget";"Man";"55-64";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;11;11;11;11;11;11;10;10;3;5;0;9;10;14;14;14;6;12;10;10;3;13;14;7;14;6;14;14;14;12;10;14;10;6;7;14;14;12;9;14;14;6;14;14;8;14;7;14;14;5;4;10;14;3;14;14;14;14;7;4;8;9
"10";"Runby";"Man";"45-54";"Egen företagare";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;5;6;6;9;8;6;9;8;7;7;6;8;7;7;8;9;7;8;7;7;7;7;7;7;11;6;8;11;9;5;6;6;9;12;14;11;9;11;11;10;12;6;7;7;7;7;7;7;7;1;1;1;1;1;6;4;7;9;1;8;9;9
